"location", "name", "demonym", "inseeCode"
"http://dbpedia.org/resource/Barberaz", "Barberaz", "Barberaziens, Barberaziennes", 73029
"http://dbpedia.org/resource/Barby,_Savoie", "Barby (Savoie)", "Barbysins / Barbysines", 73030
"http://dbpedia.org/resource/Bazouges-sur-le-Loir", "Bazouges-sur-le-Loir", "Bazougeois, Bazougeoise", 72025
"http://dbpedia.org/resource/Beaufay", "Beaufay", "Belfaidien, Belfaidienne", 72026
"http://dbpedia.org/resource/Beaumont-Pied-de-Bœuf,_Sarthe", "Beaumont-Pied-de-Bœuf (Sarthe)", "Belmontais, Belmontaise", 72028
"http://dbpedia.org/resource/Beaumont-sur-Dême", "Beaumont-sur-Dême", "Beaumontais, Beaumontaise", 72027
"http://dbpedia.org/resource/Beillé", "Beillé", "Beilléen, Beilléenne", 72031
"http://dbpedia.org/resource/Belley", "Belley", "Belleysans", 1034
"http://dbpedia.org/resource/Brûlon", "Brûlon", "Brûlonnais, Brûlonnaise", 72050
"http://dbpedia.org/resource/Bérus", "Bérus", "Bérusiens", 72034
"http://dbpedia.org/resource/Béthon", "Béthon", "Béthunéens", 72036
"http://dbpedia.org/resource/Béziers", "Béziers", "Biterrois", 34032
"http://dbpedia.org/resource/Caen", "Caen", "Caennais", 14118
"http://dbpedia.org/resource/Caligny", "Caligny", "Caligniens", 61070
"http://dbpedia.org/resource/Cambernon", "Cambernon", "Cambernonais", 50092
"http://dbpedia.org/resource/Cambrai", "Cambrai", "Cambrésiens", 59122
"http://dbpedia.org/resource/Campbon", "Campbon", "Campbonais, Campbonaises", 44025
"http://dbpedia.org/resource/Cantaron", "Cantaron", "Cantaronnais", 6031
"http://dbpedia.org/resource/Canteloup,_Manche", "Canteloup (Manche)", "Cantelouais", 50096
"http://dbpedia.org/resource/Cantenay-Épinard", "Cantenay-Épinard", "Cantenaysien, Cantenaysienne", 49055
"http://dbpedia.org/resource/Cappelle-Brouck", "Cappelle-Brouck", "Cappellebrouckois", 59130
"http://dbpedia.org/resource/Aigné", "Aigné", "Aignéen, Aignéenne", 72001
"http://dbpedia.org/resource/Aiguebelette-le-Lac", "Aiguebelette-le-Lac", "Aiguebelettois", 73001
"http://dbpedia.org/resource/Ajaccio", "Ajaccio", "Ajacciens , Aiaccini or Ajaccini , Aiaccini or Aghjaccini", 2
"http://dbpedia.org/resource/Albens", "Albens", "Albanais", 73010
"http://dbpedia.org/resource/Hardifort", "Hardifort", "Hardifortois", 59282
"http://dbpedia.org/resource/Haucourt-Moulaine", "Haucourt-Moulaine", "Haucourt-Moulainois", 54254
"http://dbpedia.org/resource/Haute-Amance", "Haute-Amance", "Hortois, Hortoises", 52242
"http://dbpedia.org/resource/Hauteville-sur-Mer", "Hauteville-sur-Mer", "Hautais", 50231
"http://dbpedia.org/resource/Haverskerque", "Haverskerque", "Haverskerquois", 59293
"http://dbpedia.org/resource/Hazebrouck", "Hazebrouck", "Hazebrouckois", 59295
"http://dbpedia.org/resource/Hermonville", "Hermonville", "hérémondois", 51291
"http://dbpedia.org/resource/Herqueville,_Manche", "Herqueville (Manche)", "Herquevillais", 50242
"http://dbpedia.org/resource/Herzeele", "Herzeele", "Herzeelois", 59305
"http://dbpedia.org/resource/Heugon", "Heugon", "Heugonais", 61205
"http://dbpedia.org/resource/Heussé", "Heussé", "Heusséens", 50245
"http://dbpedia.org/resource/Heutrégiville", "Heutrégiville", "Huldériquois", 51293
"http://dbpedia.org/resource/Lourdes", "Lourdes", "", 65286
"http://dbpedia.org/resource/Louresse-Rochemenier", "Louresse-Rochemenier", "Louressiens, Louressois", 49182
"http://dbpedia.org/resource/Loury,_Loiret", "Loury", "Louriots", 45188
