"location","name","peopleName","gentile","inseeCode"
"http://fr.dbpedia.org/resource/Aix-en-Provence","Aix-en-Provence","Aixois ou Aquisextains","Aixois ou Aquisextains","13001"
"http://fr.dbpedia.org/resource/Ambérieu-en-Bugey","Ambérieu-en-Bugey","Ambarrois","Ambarrois","01004"
"http://fr.dbpedia.org/resource/Beausoleil_(Alpes-Maritimes)","Beausoleil (Alpes-Maritimes)","Beausoleillois","Beausoleillois","06012"
"http://fr.dbpedia.org/resource/Boissy-Saint-Léger","Boissy-Saint-Léger","Boisséens","Boisséens","94004"
"http://fr.dbpedia.org/resource/Boussy-Saint-Antoine","Boussy-Saint-Antoine","Buxaciens ou Buxassiens","Buxaciens ou Buxassiens","91097"
"http://fr.dbpedia.org/resource/Camphin-en-Carembault","Camphin-en-Carembault","Camphinois","Camphinois","59123"
"http://fr.dbpedia.org/resource/Collonges-au-Mont-d'Or","Collonges-au-Mont-d'Or","Collongeards","Collongeards","69063"
"http://fr.dbpedia.org/resource/Colonne_(Jura)","Colonne (Jura)","Coulonnais","Coulonnais","39159"
"http://fr.dbpedia.org/resource/Combourg","Combourg","Combourgeois","Combourgeois","35085"
"http://fr.dbpedia.org/resource/Cussay","Cussay","Cussayais","Cussayais","37094"
"http://fr.dbpedia.org/resource/Dortan","Dortan","Dortanais","Dortanais","01148"
"http://fr.dbpedia.org/resource/Gérardmer","Gérardmer","Géromois ou Gérômois","Géromois ou Gérômois","88196"
"http://fr.dbpedia.org/resource/L'Île-d'Yeu","L'Île-d'Yeu","Islais","Islais","85113"
"http://fr.dbpedia.org/resource/L'Île-d'Yeu","L'Île-d'Yeu","Islais","Ogien","85113"
"http://fr.dbpedia.org/resource/L'Île-d'Yeu","L'Île-d'Yeu","Ogien","Islais","85113"
"http://fr.dbpedia.org/resource/L'Île-d'Yeu","L'Île-d'Yeu","Ogien","Ogien","85113"
"http://fr.dbpedia.org/resource/Listrac-de-Durèze","Listrac-de-Durèze","Listracais","Listracais","33247"
"http://fr.dbpedia.org/resource/Neuville-sur-Saône","Neuville-sur-Saône","Neuvillois","Neuvillois","69143"
"http://fr.dbpedia.org/resource/Ploemeur","Ploemeur","Ploemeurois","Ploemeurois","56162"
"http://fr.dbpedia.org/resource/Reims","Reims","Rémois","Rémois","51454"
"http://fr.dbpedia.org/resource/Saint-Erme-Outre-et-Ramecourt","Saint-Erme-Outre-et-Ramecourt","Saint-Ermois, Saint-Ermoise","Saint-Ermois, Saint-Ermoise","02676"
"http://fr.dbpedia.org/resource/Saint-Loup-Cammas","Saint-Loup-Cammas","Saint-Loupiens","Saint-Loupiens","31497"
"http://fr.dbpedia.org/resource/Saint-Nizier-du-Moucherotte","Saint-Nizier-du-Moucherotte","Saint-Nizards","Saint-Nizards","38433"
